[rosmaster.main][INFO] 2021-02-16 12:28:32,995: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-02-16 12:28:32,995: Starting ROS Master Node
[xmlrpc][INFO] 2021-02-16 12:28:33,053: XML-RPC server binding to 0.0.0.0:50565
[xmlrpc][INFO] 2021-02-16 12:28:33,078: Started XML-RPC server [http://ip-172-31-16-155:50565/]
[rosmaster.master][INFO] 2021-02-16 12:28:33,078: Master initialized: port[50565], uri[http://ip-172-31-16-155:50565/]
[xmlrpc][INFO] 2021-02-16 12:28:33,092: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-02-16 12:28:33,148: +PUB [/rosout] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,154: +SERVICE [/tf2_web_republisher/get_loggers] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,162: +SERVICE [/tf2_web_republisher/set_logger_level] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,168: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-02-16 12:28:33,171: +SUB [/tf] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,177: +PARAM [/roslaunch/uris/host_ip_172_31_16_155__33447] by /roslaunch
[rosmaster.master][INFO] 2021-02-16 12:28:33,180: +SUB [/tf_static] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,186: +SERVICE [/republish_tfs] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,195: +PUB [/tf2_web_republisher/result] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,425: +PUB [/tf2_web_republisher/feedback] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,432: +PUB [/tf2_web_republisher/status] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,441: +SUB [/tf2_web_republisher/goal] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,449: +SUB [/tf2_web_republisher/cancel] /tf2_web_republisher http://ip-172-31-16-155:40909/
[rosmaster.master][INFO] 2021-02-16 12:28:33,538: +SERVICE [/rosout/get_loggers] /rosout http://ip-172-31-16-155:42333/
